iter	Passed	Remaining
399	43138	64708
400	43234	64582
401	43350	64487
402	43454	64372
403	43568	64274
404	43680	64171
405	43779	64051
406	43912	63980
407	44021	63874
408	44136	63777
409	44248	63673
410	44367	63582
411	44476	63476
412	44580	63362
413	44685	63250
414	44790	63138
415	44916	63056
416	45012	62930
417	45122	62826
418	45230	62718
419	45330	62598
420	45446	62502
421	45540	62375
422	45644	62262
423	45747	62147
424	45858	62044
425	45989	61967
426	46097	61859
427	46201	61746
428	46305	61632
429	46426	61542
430	46541	61444
431	46639	61322
432	46749	61216
433	46860	61112
434	46972	61010
435	47081	60904
436	47193	60800
437	47293	60682
438	47416	60593
439	47526	60487
440	47645	60393
441	47756	60290
442	47882	60204
443	48003	60112
444	48113	60006
445	48228	59907
446	48338	59801
447	48448	59694
448	48562	59594
449	48675	59492
450	48784	59384
451	48887	59271
452	48995	59161
453	49115	59068
454	49215	58950
455	49319	58837
456	49420	58720
457	49525	58609
458	49626	58491
459	49733	58382
460	49835	58267
461	49936	58150
462	50042	58040
463	50166	57951
464	50263	57830
465	50367	57717
466	50480	57614
467	50603	57523
468	50722	57427
469	50835	57325
470	50929	57200
471	51040	57095
472	51167	57009
473	51266	56890
474	51372	56780
475	51477	56668
476	51598	56574
477	51710	56470
478	51814	56357
479	51925	56252
480	52031	56141
481	52160	56056
482	52265	55944
483	52365	55828
484	52482	55728
485	52588	55618
486	52712	55526
487	52820	55418
488	52921	55302
489	53043	55208
490	53151	55100
491	53280	55013
492	53392	54908
493	53489	54789
494	53598	54680
495	53709	54575
496	53805	54455
497	53909	54342
498	54006	54223
499	54110	54110
500	54249	54032
501	54356	53923
502	54458	53809
503	54552	53687
504	54668	53586
505	54788	53489
506	54897	53381
507	54993	53261
508	55101	53153
509	55202	53037
510	55326	52944
511	55432	52834
512	55532	52718
513	55639	52608
514	55760	52511
515	55878	52413
516	55988	52306
517	56093	52194
518	56194	52080
519	56338	52004
520	56434	51884
521	56542	51776
522	56654	51671
523	56755	51556
524	56868	51452
525	56975	51343
526	57075	51227
527	57176	51112
528	57276	50996
529	57404	50905
530	57514	50799
531	57622	50690
532	57736	50587
533	57860	50492
534	58004	50415
535	58105	50300
536	58216	50193
537	58329	50089
538	58450	49992
539	58566	49889
540	58673	49779
541	58775	49666
542	58882	49556
543	58993	49450
544	59097	49338
545	59197	49222
546	59296	49106
547	59400	48994
548	59525	48899
549	59629	48787
550	59734	48676
551	59834	48561
552	59941	48451
553	60058	48350
554	60162	48238
555	60268	48127
556	60369	48013
557	60480	47907
558	60595	47804
559	60707	47699
560	60850	47617
561	60993	47535
562	61122	47443
563	61256	47353
564	61389	47264
565	61518	47171
566	61638	47071
567	61743	46959
568	61856	46854
569	61963	46744
570	62078	46640
571	62230	46564
572	62340	46456
573	62439	46340
574	62540	46225
575	62666	46129
576	62783	46026
577	62887	45914
578	62995	45805
579	63112	45702
580	63211	45585
581	63323	45479
582	63429	45369
583	63537	45259
584	63678	45173
585	63787	45064
586	63886	44949
587	63995	44840
588	64102	44730
589	64212	44621
590	64319	44512
591	64416	44395
592	64530	44289
593	64636	44178
594	64771	44087
595	64884	43982
596	64989	43870
597	65097	43760
598	65219	43660
599	65323	43548
600	65444	43447
601	65562	43345
602	65684	43245
603	65812	43148
604	65914	43035
605	66018	42922
606	66118	42808
607	66228	42699
608	66341	42593
609	66451	42485
610	66552	42371
611	66652	42256
612	66751	42141
613	66985	42111
614	67090	41999
615	67183	41880
616	67288	41768
617	67413	41669
618	67516	41556
619	67616	41442
620	67714	41326
621	67812	41210
622	67911	41095
623	68032	40994
624	68129	40877
625	68226	40761
626	68339	40654
627	68458	40552
628	68569	40443
629	68677	40334
630	68775	40218
631	68877	40105
632	68996	40002
633	69103	39892
634	69211	39783
635	69320	39674
636	69422	39561
637	69528	39450
638	69628	39336
639	69734	39225
640	69838	39113
641	69953	39008
642	70089	38914
643	70194	38802
644	70297	38691
645	70400	38578
646	70511	38470
647	70622	38362
648	70721	38248
649	70831	38140
650	70938	38029
651	71035	37914
652	71159	37813
653	71260	37700
654	71359	37586
655	71465	37475
656	71587	37373
657	71690	37261
658	71800	37153
659	71899	37039
660	71997	36924
661	72096	36810
662	72214	36706
663	72318	36594
664	72423	36484
665	72522	36370
666	72635	36263
667	72757	36161
668	72876	36056
669	72990	35950
670	73097	35840
671	73226	35741
672	73323	35626
673	73415	35509
674	73532	35404
675	73659	35304
676	73764	35193
677	73872	35083
678	73964	34967
679	74067	34855
680	74174	34745
681	74301	34645
682	74404	34533
683	74507	34421
684	74607	34308
685	74709	34196
686	74821	34088
687	74937	33983
688	75033	33868
689	75139	33758
690	75245	33648
691	75369	33545
692	75471	33434
693	75584	33326
694	75694	33218
695	75819	33116
696	75924	33006
697	76031	32895
698	76151	32791
699	76266	32685
700	76395	32585
701	76499	32473
702	76613	32367
703	76723	32258
704	76850	32157
705	76962	32049
706	77064	31937
707	77156	31821
708	77256	31708
709	77374	31603
710	77497	31500
711	77612	31393
712	77717	31283
713	77819	31171
714	77934	31064
715	78044	30956
716	78142	30842
717	78244	30731
718	78358	30624
719	78506	30530
720	78617	30421
721	78709	30306
722	78811	30194
723	78913	30083
